synanthedon_culiciformis_AGORA body_only1808 medium_insect_full_param clearwing_medium_insect_full_pitch_sweep_Xmas

cicadetta_montana_MfG body_only1468 large_insect_full_param cicadetta_large_insect_full_pitch_sweep_Xmas
macroglossum_stellatarum_AGORA body_only1568 large_insect_full_param hawkmoth_large_insect_full_pitch_sweep_Xmas



cicadetta_montana_MfG body_only1468 insect_full_size_sweep cicadetta_full_size_sweep_Xmas
coenagrion_hastulatum_AGORA body_only_remeshed1877 insect_full_size_sweep coenagrion_full_size_sweep_Xmas
delichon_urbicum_Reuben remesh_and_decimate2007_no_tail bird_full_size_sweep delichon_full_size_sweep_Xmas
falco_peregrinus_Reuben full2704_no_tail bird_full_size_sweep peregrine_full_size_sweep_Xmas
macroglossum_stellatarum_AGORA body_only1568 insect_full_size_sweep hawkmoth_full_size_sweep_Xmas
mythropa_florea_EvoBiomech body_only1954 insect_full_size_sweep mythropa_full_size_sweep_Xmas
